episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
87,32,TIMEOUT,4290,0.858,0,-63.787,32.33,-70.47,-68.47,-52.42,25,0,0,0,1,0,0,0,0,7.7
88,19,TIMEOUT,5000,1.0,0,-68.073,-71.37,-59.72,-73.28,-71.22,0,0,0,0,2,0,0,0,0,7.8
89,12,TIMEOUT,5000,1.0,0,-54.647,-71.32,-47.32,-45.8,-70.82,0,0,0,40,3,0,0,0,0,7.9
90,19,TIMEOUT,4935,0.987,0,-55.163,-60.82,-44.02,-51.05,-70.42,0,0,0,0,3,0,0,0,0,7.9
91,28,TIMEOUT,4275,0.855,0,-61.76,38.33,-64.62,-68.44,-52.22,10,0,0,0,1,0,0,0,0,8.0
92,11,TIMEOUT,4875,0.975,0,-48.303,-52.32,-45.42,-48.67,-50.82,0,0,0,0,1,0,0,0,0,8.0
93,33,WIPE,4430,0.886,0,-213.897,-138.72,-202.37,-221.8,-217.52,25,0,15,0,2,0,0,0,0,8.2
94,33,TIMEOUT,4495,0.899,0,-62.523,1.43,-53.32,-62.53,-71.72,10,0,0,40,3,0,0,0,0,8.3
95,29,TIMEOUT,4420,0.884,0,-61.993,12.13,-45.92,-68.29,-71.77,25,0,0,0,1,0,0,0,0,8.4
96,43,WIPE,4350,0.87,0,-216.05,-124.42,-218.37,-207.51,-222.27,0,0,0,80,3,0,0,0,0,8.5
97,17,TIMEOUT,4800,0.96,0,-47.383,-42.92,-45.47,-48.21,-48.47,0,0,15,0,2,0,0,0,0,8.6
98,42,WIPE,4070,0.814,0,-214.503,-82.17,-211.92,-213.02,-218.57,0,5,0,40,1,0,0,0,0,8.7
99,23,TIMEOUT,4660,0.932,0,-60.28,-21.22,-42.97,-65.4,-72.47,0,0,0,40,3,0,0,0,0,8.8
100,19,TIMEOUT,5000,1.0,0,-57.13,-70.67,-47.57,-51.05,-72.77,0,0,0,0,2,0,0,0,0,8.8
101,52,WIPE,4005,0.801,0,-208.437,-68.47,-196.67,-213.42,-215.22,0,0,0,0,4,0,0,0,0,9.0
102,21,TIMEOUT,5000,1.0,0,-48.433,-73.12,-49.17,-44.61,-51.52,0,0,0,40,0,0,0,0,0,9.0
103,35,TIMEOUT,4529,0.9058,0,-59.407,-1.87,-62.32,-64.88,-51.02,0,15,0,0,3,0,0,0,0,9.1
104,52,TIMEOUT,4225,0.845,0,-51.25,48.68,-43.22,-54.21,-56.32,0,0,0,0,1,0,0,0,0,9.3
105,11,TIMEOUT,5000,1.0,0,-52.793,-71.52,-56.32,-51.39,-50.67,0,0,0,0,3,0,0,0,0,9.3
106,18,TIMEOUT,4905,0.981,0,-58.557,-55.97,-57.97,-69.98,-47.72,0,0,0,0,2,0,0,0,0,9.4
107,32,TIMEOUT,4640,0.928,0,-64.877,-17.52,-54.47,-66.54,-73.62,0,15,0,0,0,0,0,0,0,9.5
108,30,TIMEOUT,4815,0.963,0,-68.583,-42.17,-63.72,-70.11,-71.92,0,0,0,0,1,0,0,0,0,9.6
109,37,WIPE,4355,0.871,0,-215.827,-125.27,-212.87,-217.44,-217.17,0,0,15,0,2,0,0,0,0,9.7
110,11,TIMEOUT,5000,1.0,0,-59.943,-71.27,-55.82,-72.49,-51.52,0,0,0,0,1,0,0,0,0,9.7
111,26,TIMEOUT,4430,0.886,0,-61.143,6.78,-46.47,-65.14,-71.82,20,25,0,0,1,0,0,0,0,9.8
112,39,TIMEOUT,4470,0.894,0,-70.51,9.33,-72.52,-67.19,-71.82,0,0,0,0,2,0,0,0,0,9.9
113,16,TIMEOUT,5000,1.0,0,-52.61,-70.72,-58.47,-49.99,-49.37,0,0,0,0,2,0,0,0,0,10.0
114,33,TIMEOUT,4475,0.895,0,-54.057,10.03,-60.97,-49.48,-51.72,0,0,0,0,3,0,0,0,0,10.1
115,16,TIMEOUT,4905,0.981,0,-60.84,-58.47,-57.82,-71.48,-53.22,0,0,0,0,2,0,0,0,0,10.1
116,24,TIMEOUT,4815,0.963,0,-58.34,-47.57,-58.07,-47.43,-69.52,0,15,15,0,1,0,0,0,0,10.2
117,28,TIMEOUT,4690,0.938,0,-67.073,-23.02,-59.97,-68.18,-73.07,0,0,0,0,1,0,0,0,0,10.3
118,23,TIMEOUT,4845,0.969,0,-63.19,-47.42,-49.57,-68.28,-71.72,0,0,0,0,2,0,0,0,0,10.3
119,14,TIMEOUT,5000,1.0,0,-60.547,-71.47,-57.32,-72.1,-52.22,0,0,0,0,3,0,0,0,0,10.4
120,26,TIMEOUT,4380,0.876,0,-52.047,24.03,-50.82,-52.35,-52.97,0,0,0,0,1,0,0,0,0,10.4
121,14,TIMEOUT,4830,0.966,0,-57.163,-47.42,-52.12,-68.85,-50.52,0,15,0,0,1,0,0,0,0,10.5
122,13,TIMEOUT,5000,1.0,0,-53.297,-70.97,-58.77,-50.0,-51.12,0,0,0,0,1,0,0,0,0,10.5
123,19,TIMEOUT,4630,0.926,0,-62.28,-14.52,-45.62,-69.05,-72.17,0,0,0,0,2,0,0,0,0,10.6
124,30,TIMEOUT,4925,0.985,0,-50.213,-58.87,-30.92,-67.4,-52.32,10,0,0,0,2,0,0,0,0,10.7
125,30,TIMEOUT,4535,0.907,0,-57.177,-1.17,-52.72,-48.64,-70.17,0,0,0,40,4,0,0,0,0,10.7
126,10,TIMEOUT,4905,0.981,0,-47.903,-56.97,-43.67,-51.52,-48.52,0,0,0,0,2,0,0,0,0,10.8
127,16,TIMEOUT,5000,1.0,0,-47.01,-71.07,-43.27,-49.74,-48.02,0,0,0,0,3,0,0,0,0,10.8
128,22,TIMEOUT,5000,1.0,0,-67.187,-70.47,-58.32,-70.92,-72.32,0,0,0,0,3,0,0,0,0,10.9
129,38,TIMEOUT,4475,0.895,0,-63.04,8.38,-70.52,-67.83,-50.77,0,0,0,0,2,0,0,0,0,11.0
130,10,TIMEOUT,4900,0.98,0,-55.18,-57.02,-45.82,-70.65,-49.07,0,5,0,0,1,0,0,0,0,11.0
131,37,WIPE,4385,0.877,0,-211.293,-131.37,-198.62,-215.59,-219.67,25,0,0,0,3,0,0,0,0,11.1
132,26,TIMEOUT,4720,0.944,0,-51.357,-28.17,-54.77,-48.98,-50.32,0,0,0,0,2,0,0,0,0,11.2
133,14,TIMEOUT,4965,0.993,0,-57.597,-70.92,-39.27,-66.75,-66.77,0,0,35,40,1,0,0,0,0,11.2
134,10,TIMEOUT,5000,1.0,0,-58.087,-71.37,-53.92,-71.62,-48.72,0,0,0,0,1,0,0,0,0,11.3
135,22,TIMEOUT,4780,0.956,0,-56.22,-39.07,-50.42,-70.72,-47.52,0,0,0,0,1,0,0,0,0,11.4
136,26,TIMEOUT,4910,0.982,0,-51.303,-60.02,-41.07,-63.22,-49.62,25,0,0,40,0,0,0,0,0,11.4
137,37,TIMEOUT,4845,0.969,0,-55.063,-47.52,-53.27,-40.75,-71.17,0,0,0,80,2,0,0,0,0,11.5
